Post Date	Check	Description	Debit	Credit	Status	Balance
6/23/2025		807380 PURCHASE-RECUR ZOOM.COM 888-799 SAN JOSE CA 00782095 807380	171.7		Posted	329.54
6/17/2025		STRIPE TRANSFER ST-P3Q0Q4G3N7F5		104.31	Posted	501.24
6/12/2025		8358 PURCHASE-RECUR Microsoft-G09704 Redmond WA 00875030 008358	6.48		Posted	396.93
6/11/2025		STRIPE TRANSFER ST-S9N1N0J6P9R6		79.41	Posted	403.41
6/9/2025		PARK FCU ACH ORIGIN JODSON GRAVES	308.58		Posted	324
6/5/2025		417083 PURCHASE-RECUR WIX.COM 14156399034 CA 44880130 417083	45.58		Posted	632.58
6/4/2025		870066 PURCHASE-SIG WIX.COM 14156399034 CA 17756855 870066	35.1		Posted	678.16
6/3/2025		STRIPE TRANSFER ST-M0E9M0A5S1L1		198.54	Posted	713.26
6/2/2025		816116 PURCHASE-RECUR MONGODBCLOUD JOD PALO ALTO CA 18384747 816116	14.07		Posted	514.72
6/2/2025		402566 PURCHASE-RECUR ATLASSIAN SAN FRANCISCO CA 05744234 402566	6.51		Posted	528.79
5/28/2025		STRIPE TRANSFER ST-C8H1T7H8H8A3		27.79	Posted	535.3
5/20/2025		685964 PURCHASE-SIG TECHSOUP 4156339300 CA 41804625 685964	95		Posted	507.51
5/19/2025		STRIPE TRANSFER ST-D2D9C2U7G9S9		99.27	Posted	602.51
5/15/2025		PARK FCU ACH ORIGIN JODSON GRAVES	308.58		Posted	503.24
5/14/2025		759684 PURCHASE-RECUR SQSP* INV1819277 NEW YORK NY 20436208 759684	8.4		Posted	811.82
5/12/2025		292050 PURCHASE-RECUR MICROSOFT#G09213 REDMOND WA 11667680 292050	6.48		Posted	820.22
5/5/2025		750938 PURCHASE-RECUR WIX.COM 14156399034 CA 84347048 750938	45.58		Posted	826.7
5/2/2025		623152 PURCHASE-RECUR MONGODBCLOUD JOD PALO ALTO CA 20185809 623152	4.18		Posted	872.28
5/2/2025		STRIPE TRANSFER ST-A5H0P4P1H3O1		89.34	Posted	876.46
5/1/2025		779272 PURCHASE-SIG WIX.COM 14156399034 CA 73788052 779272	24.66		Posted	787.12
4/24/2025		PARK FCU ACH ORIGIN JODSON GRAVES	308.58		Posted	811.78
4/18/2025		STRIPE TRANSFER ST-L2U5Z1L3T9Q7		94.06	Posted	1120.36
4/17/2025		STRIPE TRANSFER ST-F7Z6L1Y9Q5C8		113.52	Posted	1026.3
4/14/2025		359175 PURCHASE-RECUR SQSP* INV1777977 NEW YORK NY 19118516 359175	8.4		Posted	912.78
4/14/2025		739516 PURCHASE-RECUR Microsoft-G08745 msbill.info WA 46043081 739516	6.48		Posted	921.18
4/7/2025		PARK FCU ACH ORIGIN JODSON GRAVES	308.58		Posted	927.66
4/7/2025		589099 PURCHASE-RECUR GOOGLE *NATURALR 650-253-0000 CA 70860854 589099	127.19		Posted	1236.24
4/7/2025		232884 PURCHASE-RECUR WIX.COM 11711889 SAN FRANCISCO CA 53573214 232884	45.58		Posted	1363.43
4/3/2025		STRIPE TRANSFER ST-C0W4Z4L4H9D6		171.33	Posted	1409.01
3/27/2025		951977 PURCHASE-RECUR GOOGLE *CLAUDE B 650-253-0000 CA 70683953 951977	228.96		Posted	1237.68
3/25/2025		PARK FCU ACH ORIGIN JODSON GRAVES	308.58		Posted	1466.64
3/19/2025		988567 PURCHASE-SIG ONEHOPEWINE.COM NAPA CA 26884186 988567	71.94		Posted	1775.22
3/19/2025		414315 PURCHASE-RECUR VOLUNTRMATCH*PRE 4152416868 CA 66690868 414315	14.99		Posted	1847.16
3/19/2025		STRIPE TRANSFER ST-N1W1H8P1X1Q3		37.84	Posted	1862.15
3/18/2025		STRIPE TRANSFER ST-F4Y1J5B5R7I2		94.3	Posted	1824.31
3/14/2025		871354 PURCHASE-RECUR SQSP* INV1735980 NEW YORK NY 14383369 871354	7.2		Posted	1730.01
3/12/2025	9999	Check	300		Posted	1737.21
3/12/2025		661041 PURCHASE-RECUR Microsoft-G08278 msbill.info WA 43906071 661041	6.48		Posted	2037.21
3/5/2025		795101 PURCHASE-RECUR WIX.COM 11657591 SAN FRANCISCO CA 43942378 795101	40.28		Posted	2043.69
3/3/2025		STRIPE TRANSFER ST-J6R8V5O6M9B2		119.13	Posted	2083.97
2/28/2025		688179 RETURN-PIN GOOGLE *SERVICES MOUNTAIN VIEW CA 09882396 688179		101.75	Posted	1964.84
2/26/2025		STRIPE TRANSFER ST-S9L4S3D8Y8Y6		1143.9	Posted	1863.09
2/20/2025		PARK FCU ACH ORIGIN JODSON GRAVES	219.16		Posted	719.19
2/20/2025		STRIPE TRANSFER ST-E7R6R2V2Q0B0		37.84	Posted	938.35
2/19/2025		227110 PURCHASE-RECUR VOLUNTRMATCH*PRE 4152416868 CA 15720832 227110	14.99		Posted	900.51
2/19/2025		STRIPE TRANSFER ST-R5A1G3C6K0N8		89.33	Posted	915.5
2/18/2025		149300 PURCHASE-RECUR GOOGLE *DUOLINGO 650-253-0000 CA 73209269 149300	101.75		Posted	826.17
2/14/2025		696735 PURCHASE-RECUR SQSP* INV1695772 NEW YORK NY 22160334 696735	7.2		Posted	927.92
2/14/2025		STRIPE TRANSFER ST-X3D5V4V7M2V6		80.74	Posted	935.12
2/12/2025		22670 PURCHASE-RECUR Microsoft-G07841 msbill.info WA 20230025 022670	6.48		Posted	854.38
2/12/2025		STRIPE TRANSFER ST-X0S0C0U7M1E8		19.85	Posted	860.86
2/5/2025		373798 PURCHASE-RECUR WIX.COM 11605479 SAN FRANCISCO CA 43610301 373798	40.28		Posted	841.01
2/3/2025		STRIPE TRANSFER ST-F6N1O2V7Y6L5		92.32	Posted	881.29
1/31/2025		PARK FCU ACH ORIGIN JODSON GRAVES	200		Posted	788.97
